Member id,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price ,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1010010,3,17,8025,24,818.00,1.41,334.38,10.19,1.00000,0.00000,0.00000,0.37695,0.13084,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.49221,0.23364,0.56075,0.13084,0.07477,0.50156,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02804,0.00000,0.13084,0.33956
1010020,5,25,13975,40,1681.50,1.60,349.38,12.03,0.88730,0.09660,0.01610,0.02147,0.07513,0.00000,0.00000,0.00000,0.05903,0.00000,0.14490,0.69946,0.29338,0.54741,0.09481,0.06440,0.45617,0.34705,0.02683,0.01610,0.01431,0.00000,0.05903,0.00000,0.00000,0.08050,0.00000
1014020,5,37,23100,63,1950.00,1.70,366.67,8.44,0.94156,0.01948,0.03896,0.02597,0.54545,0.00000,0.03030,0.00000,0.00000,0.00000,0.01948,0.37879,0.12013,0.31818,0.56169,0.00000,0.24459,0.12121,0.03355,0.01082,0.00866,0.00000,0.00000,0.01623,0.00000,0.56169,0.00325
1014030,2,4,1500,4,114.00,1.00,375.00,7.60,1.00000,0.00000,0.00000,0.40000,0.60000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40000,0.60000,0.00000,0.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.60000,0.00000
1014190,3,6,8300,13,591.00,2.17,638.46,7.12,0.61446,0.14458,0.24096,0.04819,0.14458,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.80723,0.00000,0.04819,0.14458,0.80723,0.80723,0.00000,0.00000,0.04819,0.00000,0.00000,0.00000,0.00000,0.00000,0.14458,0.00000
1017020,3,26,18175,41,1705.50,1.58,443.29,9.38,1.00000,0.00000,0.00000,0.07703,0.06602,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.85695,0.21596,0.44979,0.06602,0.26823,0.48693,0.09904,0.00000,0.00688,0.07153,0.00000,0.00000,0.00000,0.00000,0.06602,0.26960
1017110,4,17,9950,26,1007.50,1.53,382.69,10.13,0.97739,0.02261,0.00000,0.45226,0.04523,0.00754,0.00000,0.00000,0.00000,0.00000,0.00000,0.49497,0.06784,0.65829,0.04523,0.22864,0.82161,0.00000,0.02261,0.00754,0.00000,0.00000,0.00000,0.00000,0.00000,0.04523,0.10302
1017160,3,8,9300,25,569.50,3.13,372.00,6.12,0.93548,0.00000,0.06452,0.04301,0.79032,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16667,0.04032,0.04301,0.89516,0.02151,0.06452,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00806,0.00000,0.89516,0.03226
1017360,2,12,26490,27,3113.50,2.25,981.11,11.75,0.89807,0.10193,0.00000,0.38505,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.61495,0.10815,0.89185,0.00000,0.00000,0.70461,0.28029,0.00000,0.00000,0.01510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1017460,4,13,7455,18,990.50,1.38,414.17,13.29,1.00000,0.00000,0.00000,0.06707,0.12072,0.00000,0.00000,0.00000,0.00000,0.00000,0.40241,0.40979,0.61368,0.09792,0.12072,0.16767,0.23877,0.46278,0.15091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12072,0.02683
