@relation "Demographic Clustering"

@attribute "Member id" numeric
@attribute SEC real
@attribute FEH real
@attribute MT real
@attribute SEX real
@attribute AGE real
@attribute EDU real
@attribute HS real
@attribute CHILD real
@attribute CS real
@attribute "Affluence Index" real

@data
1010010,4,3,10,1,4,4,2,4,1,2
1010020,3,2,10,2,2,4,4,2,1,19
1014020,2,3,10,2,4,5,6,4,1,23
1014030,4,3,10,2,4,5,4,4,1,0
1014190,4,1,10,2,3,4,4,3,1,10
1017020,4,3,10,2,3,4,5,2,1,13
1017110,4,2,10,2,4,1,3,2,1,11
1017160,4,3,10,2,2,4,5,3,1,0
1017360,4,3,10,2,4,4,6,4,1,17
1017460,1,3,5,1,4,7,3,4,1,6
1017490,4,3,10,2,4,4,6,4,1,30
1020070,3,3,10,2,1,4,5,4,1,18
1020210,4,3,17,2,3,3,4,3,2,8
1024050,4,3,17,2,3,3,6,4,1,10
1024100,3,1,13,2,4,3,6,4,1,15
1024120,4,3,10,2,4,3,5,1,2,13
1024220,4,3,10,2,4,3,4,4,1,11
1024400,4,3,10,2,4,1,6,2,1,4
1024630,4,3,17,2,3,4,5,2,1,14
1025070,3,3,10,2,2,5,4,4,1,0
1025140,4,3,10,2,2,5,4,4,1,0
1025210,2,3,17,2,2,5,5,2,1,4
1027040,4,3,10,2,3,4,7,4,1,11
1027160,3,3,10,2,3,5,4,4,1,0
1027210,4,3,10,2,3,5,4,4,1,0
1027390,3,3,10,2,3,5,4,3,1,18
1027480,4,1,4,2,4,4,7,4,1,9
1027540,3,3,10,2,2,3,2,4,1,11
1027580,4,3,10,2,2,4,6,3,1,13
1027680,4,3,10,2,2,5,4,4,1,0
1027720,4,1,10,2,4,4,4,2,2,4
1027750,4,3,10,2,2,1,5,3,1,9
1027810,4,3,10,2,2,5,4,4,1,0
1027840,2,3,5,2,3,1,3,4,2,4
1028020,4,3,16,2,2,4,5,2,1,5
1028050,3,3,16,2,2,1,5,2,1,8
1028110,4,3,10,2,2,4,3,2,1,2
1028230,4,2,10,2,4,3,4,2,1,10
1030040,4,3,10,2,4,5,6,4,2,11
1030150,4,3,10,2,4,5,4,4,1,0
1030200,3,1,4,2,4,1,4,4,2,13
1030280,4,3,10,2,1,1,6,1,2,6
1030300,2,3,16,2,4,1,9,4,1,14
1034020,4,3,10,2,2,5,4,4,1,0
1034130,4,1,17,2,4,4,8,3,1,8
1034220,3,3,10,2,4,4,4,4,1,11
1034350,4,3,10,2,3,5,4,4,1,0
1035020,4,3,10,2,4,1,3,4,1,9
1035100,4,3,10,2,3,5,4,4,1,0
1035150,3,1,4,2,4,7,9,2,1,37
1037050,4,3,10,2,4,1,5,1,2,10
1037120,4,1,4,2,2,4,10,3,1,14
1037190,2,1,4,2,2,1,6,1,1,12
1037220,4,3,17,2,1,4,15,1,1,37
1037250,3,3,10,2,4,1,4,4,1,7
1037290,4,3,10,2,1,4,9,3,1,16
1037420,4,3,10,2,4,3,5,4,1,17
1037630,4,3,6,2,4,5,4,4,1,11
1037690,3,1,5,2,3,1,5,4,1,10
1037720,4,1,4,2,4,5,4,4,1,15
1037850,4,3,10,1,4,5,3,4,1,16
1037890,4,3,15,1,2,4,8,3,1,7
1037940,4,3,10,2,3,3,5,4,1,13
1038000,2,3,10,2,4,1,4,4,1,5
1038080,3,2,10,2,4,4,5,1,1,17
1038110,4,2,16,2,4,1,2,4,1,6
1040080,4,3,10,2,2,1,10,3,1,10
1040150,2,3,10,2,4,5,8,2,1,26
1040190,4,3,10,2,4,1,5,4,2,9
1040250,4,2,10,2,4,4,6,4,1,15
1040340,4,3,10,2,4,4,2,4,1,4
1040370,3,1,4,2,4,2,5,2,1,13
1044010,4,3,10,2,4,1,4,4,1,2
1044140,4,1,4,2,3,4,5,4,1,7
1044370,4,3,10,1,1,1,6,4,2,8
1045030,1,1,10,2,2,5,4,1,1,19
1045060,4,3,10,2,4,1,2,2,1,1
1045100,4,1,5,2,3,1,3,4,1,2
1045120,3,3,10,2,4,5,6,1,1,22
1047210,4,3,10,2,4,1,3,4,2,12
1047220,3,3,10,2,4,1,4,1,1,6
1047350,4,3,10,2,4,1,8,4,1,13
1047420,2,3,10,2,4,5,3,4,1,2
1047610,4,3,8,2,4,3,2,4,1,11
1047650,4,3,10,2,3,5,4,4,1,0
1047750,4,3,10,2,3,5,8,2,1,19
1047760,3,3,9,2,4,1,4,4,1,16
1047870,4,3,10,2,4,1,6,4,1,22
1047980,3,3,10,2,4,5,4,4,1,0
1050050,4,3,10,2,3,3,6,4,1,19
1050210,2,1,15,2,4,5,3,4,1,15
1054110,3,3,17,2,2,4,8,2,2,14
1054270,4,3,10,2,2,4,2,4,2,5
1054310,3,3,10,2,4,4,3,4,1,13
1055060,4,3,10,2,2,5,2,4,1,18
1055160,4,3,10,2,2,5,6,3,1,17
1055260,4,3,10,2,2,4,7,3,2,5
1055330,3,3,10,2,2,6,5,2,1,6
